train/ent_coef,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss
0.7418495416641235,9.704910278320312,-2.947101593017578,0.0003,1000,33.74263000488281
0.5723956823348999,4.374625205993652,-2.619295358657837,0.0003,2000,1.5335745811462402
0.4755033254623413,3.3614816665649414,-3.1329832077026367,0.0003,3000,0.3944690227508545
0.3877512216567993,3.072106122970581,-3.126209020614624,0.0003,4000,0.3083997964859009
0.3150588572025299,2.7707598209381104,-3.1912217140197754,0.0003,5000,0.3942479193210602
0.2583296000957489,2.367088794708252,-2.6477370262145996,0.0003,6000,0.24241352081298828
0.21616624295711517,2.2646474838256836,-2.1452343463897705,0.0003,7000,0.1565629541873932
0.18706895411014557,1.8522883653640747,-0.9886300563812256,0.0003,8000,0.19481825828552246
0.17069308459758759,1.9523494243621826,0.019517287611961365,0.0003,9000,0.09912851452827454
0.1645916849374771,1.775724172592163,-0.2954160273075104,0.0003,10000,0.08414093405008316
0.16430528461933136,1.6959490776062012,0.22876472771167755,0.0003,11000,0.16050264239311218
0.1665705442428589,1.8433947563171387,0.1610565334558487,0.0003,12000,0.1380963921546936
0.16676297783851624,1.7935705184936523,0.15765556693077087,0.0003,13000,0.3918432295322418
0.1700800657272339,1.5702588558197021,-0.16303612291812897,0.0003,14000,0.08298684656620026
0.1695432811975479,1.8157577514648438,-0.4413085877895355,0.0003,15000,0.13795402646064758
0.16986891627311707,1.663020372390747,-0.0798308402299881,0.0003,16000,0.19022268056869507
0.17276059091091156,1.6437186002731323,0.34510332345962524,0.0003,17000,0.12696462869644165
0.17321732640266418,1.7018942832946777,-0.9425914883613586,0.0003,18000,0.2522082030773163
0.17503905296325684,1.4905309677124023,0.6080006957054138,0.0003,19000,0.07272839546203613
0.17517706751823425,1.6613271236419678,-0.1383044719696045,0.0003,20000,0.15135638415813446
0.1764884889125824,1.7120361328125,-0.38281571865081787,0.0003,21000,0.17784413695335388
0.17853887379169464,1.3381950855255127,-0.05764950066804886,0.0003,22000,0.0901537612080574
0.18024910986423492,1.462039828300476,0.26054853200912476,0.0003,23000,0.07484961301088333
0.18043921887874603,1.471168875694275,0.11242501437664032,0.0003,24000,0.09668770432472229
